dataset,accuracy_ours,transform_time,accuracy_published,time_training_seconds,time_test_seconds,diff
TwoPatterns,0.9915,0.18343877792358398,0.995283,1.26,1.76,-0.003782999999999981
UMD,0.9861111111111112,0.05681490898132324,0.990278,0.14,0.09,-0.004166888888888831
UWaveGestureLibraryAll,0.9684533780011167,0.9065210819244385,0.974912,2.39,6.05,-0.006458621998883252
UWaveGestureLibraryX,0.8380792853154663,0.36023950576782227,0.856049,1.47,3.01,-0.017969714684533677
UWaveGestureLibraryY,0.7512562814070352,0.3645291328430176,0.783398,1.5,3.05,-0.032141718592964885
UWaveGestureLibraryZ,0.7939698492462312,0.39958620071411133,0.800326,1.54,3.03,-0.00635615075376883
Wafer,0.9985399091499026,0.33638739585876465,0.998978,1.4,3.5,-0.00043809085009738347
Wine,0.8518518518518519,0.05574178695678711,0.927778,0.15,0.04,-0.07592614814814813
WordSynonyms,0.6990595611285266,0.10628843307495117,0.767555,0.37,0.48,-0.06849543887147336
Worms,0.7142857142857143,0.1360330581665039,0.729437,0.49,0.13,-0.0151512857142857
WormsTwoClass,0.7142857142857143,0.13500094413757324,0.792641,0.48,0.12,-0.07835528571428574
Yoga,0.883,0.34162068367004395,0.918689,0.53,2.73,-0.03568899999999997
